ID,Address,Business Type,Company Name,Local Authorities,Products Sold,Status
12065,"17 Bridge Street,  IV1 1HD",Off-Licence,Glenkeir Whiskies Limited,Highland,Tobacco Only,Active
12066,"11 Main Street,  FK17 8DU",Off-Licence,Glenkeir Whiskies Limited,Stirling,Tobacco Only,Active
12067,"93 High Street,  PH33 6DG",Off-Licence,Glenkeir Whiskies Limited,Highland,Tobacco Only,Active
12068,"Unit 1 Station Road,  PA34 4NU",Off-Licence,Glenkeir Whiskies Limited,Argyll and Bute,Tobacco Only,Inactive
12069,"28 Victoria Street,  EH1 2JW",Off-Licence,Glenkeir Whiskies Limited,Edinburgh City,Tobacco Only,Active
12070,"Unit U23, Princes Mall EH1 1BQ",Off-Licence,Glenkeir Whiskies Limited,Edinburgh City,Tobacco Only,Active
12071,"Unit 14, Gretna Gateway Outlet Village DG16 5GG",Off-Licence,Glenkeir Whiskies Limited,Dumfries and Galloway,Tobacco Only,Active
12072,"13 Main Street, Upper Largo KY8 6EL",Convenience Store,The Whistle Stop,Fife,Tobacco And Nicotine Vapour Products,Inactive
12073,"Muir road, Houston industrial estate EH54 5DR",Mobile Trade,The Whistle Stop Express,West Lothian,Tobacco Only,Active
12074,"Todd square, Houston Industrial Estate EH54 5DL",Mobile Trade,The Whistle Stop Express,West Lothian,Tobacco Only,Active
12075,"2 oscar road, torry AB16 6ER",Public House,restaurantsaberdeen (torry) ltd,Aberdeen City,Tobacco Only,Active
12076,"38 brewery street,  DG1 2RP",Entertainment Venue,Nithsdale Vending Ltd,Dumfries and Galloway,Tobacco Only,Active
12077,"East Kirkcarswell Farm, Near Dundrennan DG6 4QW",Entertainment Venue,Imperial Tobacco Limited,Dumfries and Galloway,Tobacco Only,Active
12078,"116 Saltmarket,  G1 5LB",Off-Licence,J.J`s Off Sales,Glasgow City,Tobacco And Nicotine Vapour Products,Active
12079,"10 Main Street, Busby G76 8DS",Convenience Store,The Wine Seller Scotland Ltd,East Renfrewshire,Tobacco Only,Active
12080,"2 Beech Road, Auchinairn G64 1NE",Off-Licence,The Wine Seller Scotland Ltd,East Dunbartonshire,Tobacco Only,Active
12081,"35 Auchinloch Road, Lenzie G66 5EY",Convenience Store,The Wine Seller Scotland Ltd,East Dunbartonshire,Tobacco Only,Active
12082,"10 main street busby,  G76 8DU",Convenience Store,the wine seller,South Lanarkshire,Tobacco Only,Active
12083,"The Winnock Hotel, The Square G63 0BL",Hotel,The Winnock Hotel,Stirling,Tobacco Only,Inactive
12084,"10 Newmarket Street,  FK1 1JT",Convenience Store,The Wishing Well,Falkirk,Tobacco Only,Inactive
12085,"175 Main Street,  ML2 7AU",Public House,The Yard,North Lanarkshire,Tobacco Only,Active
12086,"30-36 George Street,  DD10 8EW",Nightclub,The Yard Nightclub,Angus,Tobacco Only,Active
12087,"24-27 Greenside Place,  EH1 3AA",Public House,Caledonian Heritable Ltd,Edinburgh City,Tobacco Only,Active
12088,"278 Woodlands Road,  G3 6NE",Confectionary / Tobacconist / Newsagents,Thermal Rolls Direct Ltd,Glasgow City,Tobacco And Nicotine Vapour Products,Active
12089,"28 DURBAN ROAD,  DG12 6PH",Other Catering,R&A J TRADING,Dumfries and Galloway,Tobacco Only,Active
12090,"239 stonelaw road,  G73 3RJ",Forecourt Garage,Thevars ltd,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
12091,"182-184  lackness Road,  DD1 5PQ",Other Catering,The Victor Fish Fish & Chip Shop,Dundee City,Tobacco Only,Active
12092,"15 lainshaw street, stewarton KA3 2QE",Other Retail,things for,East Ayrshire,Tobacco Only,Active
12093,"135 Mid Street,  AB55 5BJ",Other Retail,Thingymijigs,Moray,Tobacco Only,Active
12094,"34 Munches Street,  DG1 1ET",Specialist Tobacconists,Think Something Different Ltd,Dumfries and Galloway,Tobacco And Nicotine Vapour Products,Active
12095,"43 / 45 James Street,  KY12 7QE",Public House,Jaunty Inns Ltd,Fife,Tobacco Only,Active
12096,"168 High Street,  IV36 1NP",Public House,Taboo Scotland Ltd,Moray,Tobacco Only,Active
12097,"199 east high street forfar,  DD8 2HL",Public House,thistlebar,Angus,Tobacco Only,Active
12098,"Thistle Do Nicely, Tumulus Way, Midmill Business Park, Kintore AB51 0TG",Other Catering,Thistle Do Nicely!,Aberdeenshire,Tobacco Only,Active
12099,"5 Thistle Street,  FK2 7ED",Other Catering,Thistle Fish & Chicken Bar,Falkirk,Tobacco Only,Inactive
12100,"59 Manor Place,  EH3 7EG",Hotel,Cherwell Tobacco,Edinburgh City,Tobacco Only,Active
12101,"22 Glaisnock Road, CUMNOCK KA18 3AB",Public House,BELHAVEN LEASED PUBS,East Ayrshire,Tobacco Only,Active
12102,"Main Street, Crossmichael DG7 3AU",Public House,Thistle Inn,Dumfries and Galloway,Tobacco Only,Active
12103,"19 Celt Street,  IV3 5JB",Public House,Thistle Inn & Mayflower Lounge,Highland,Tobacco Only,Active
12104,"32 Holburn Street,  AB10 6BT",Convenience Store,Lewis Paterson Aberdeen Ltd,Aberdeen City,Tobacco Only,Inactive
12105,"32, Holburn street AB10 6BT",Convenience Store,Thistle News,Aberdeen City,Tobacco And Nicotine Vapour Products,Active
12106,"48 High Street,  DD8 4EG",Confectionary / Tobacconist / Newsagents,Thistle News and Gifts,Angus,Tobacco And Nicotine Vapour Products,Active
12107,"3,thistle st,  FK2 7ED",Convenience Store,thistle stores,Falkirk,Tobacco Only,Inactive
12108,"1 Donisla, Dinnet AB34 5JY",Other Catering,WMI Projects Ltd,Aberdeenshire,Tobacco Only,Inactive
12109,"22B Winton Place,  EH33 1AE",Convenience Store,Thomson’s of Tranent,East Lothian,Tobacco And Nicotine Vapour Products,Active
12110,"23 St. Cuthberts Street,  DG6 4DJ",Confectionary / Tobacconist / Newsagents,Thomson's,Dumfries and Galloway,Tobacco And Nicotine Vapour Products,Active
12111,"43 high street, tranent EH33 1LN",Convenience Store,Thomsons Convenience store,East Lothian,Tobacco Only,Active
12112,"25 HAWTHORN STREET,  G21 6HY",Forecourt Garage,GROVE RETAIL LTD,Glasgow City,Tobacco And Nicotine Vapour Products,Active
12113,"80 thorndean avenue,  ML4 2LL",Off-Licence,Thorndean licensed grocers,North Lanarkshire,Tobacco And Nicotine Vapour Products,Active
12114,"80 Thorndean Avenue, Bellshill ML4 2LL",Convenience Store,Thorndean Mini Market,North Lanarkshire,Tobacco Only,Inactive
12115,"Drumlanrig St,  DG3 5LS",Convenience Store,The Co-operative Group Food Ltd,Dumfries and Galloway,Tobacco And Nicotine Vapour Products,Active
12116,"241 Thornhill Road,  FK2 7BB",Supermarket and Other Retail Outlets,Thornhill Stores,Falkirk,Tobacco Only,Active
12117,"32 Main Street, Thornhill FK8 3PN",Convenience Store,Thornhill village store,Stirling,Tobacco And Nicotine Vapour Products,Active
12118,"37 thornhouse avenue,  KA12 0LU",Off-Licence,thornhouse stores,North Ayrshire,Tobacco And Nicotine Vapour Products,Active
12119,"53B, MAIN STREET G46 7SF",Confectionary / Tobacconist / Newsagents,THORNLIEBANK POST OFFICE,East Renfrewshire,Tobacco And Nicotine Vapour Products,Active
12120,"100 High Street,  EH32 0DQ",Public House,Caledonian Heritable Ltd,East Lothian,Tobacco Only,Active
12121,"Shoreside, Balfour Village KW17 2DX",Convenience Store,.Thomas Sinclair,Orkney Islands,Tobacco Only,Active
12122,"Inkbottle Lodge, Greenlaw TD10 6UH",Mobile Trade,The Jolly Sausage,Scottish Borders,Tobacco Only,Active
12123,"The Three Churches Inn, 5 Church Street PA12 4AD",Public House,West Coast Pub Management Group,Renfrewshire,Tobacco And Nicotine Vapour Products,Active
12124,"unit 25 Keillor Centre, Chapel Street DD1 1DQ",Specialist Tobacconists,Three Little Birdies,Dundee City,Nicotine Vapour Products Only,Active
12125,"Glasgow Central Railway Station, 79 Gordon Street G1 3SQ",Off-Licence,Select Service Partner Limited,Glasgow City,Tobacco Only,Active
12126,"25 Bank Street,  DD8 4BE",Hotel,Firm of D&S Clark,Angus,Tobacco Only,Active
12127,"Esplanade Flats, Esplanade ZE1 0LL",Public House,Lochside Stores,Shetland Islands,Tobacco Only,Inactive
12128,"The Kiosk, Dunfermline Town Railway Station, Comely Park KY12 7HT",Confectionary / Tobacconist / Newsagents,Thurmans,Fife,Tobacco Only,Active
12129,"Meadow Lane,  KW14 8ER",Supermarket and Other Retail Outlets,The Co-operative Group Food Ltd,Highland,Tobacco And Nicotine Vapour Products,Active
